Date;PX_LAST;PX_HIGH;PX_LOW;PX_OPEN
14.02.2019;66.6503;67.1652;66.285;65.7905
13.02.2019;66.5327;66.5392;65.6082;66.1836
12.02.2019;65.8753;66.235;65.5101;66.3168
11.02.2019;65.834;65.898;65.465;66.8744
08.02.2019;65.79;66.1339;65.6467;65.8484
07.02.2019;65.9152;66.153;65.8305;65.9256
06.02.2019;65.868;65.9247;65.6144;65.8288
05.02.2019;65.62;65.646;65.4219;65.484
04.02.2019;65.5927;65.7275;65.4779;66.0994
01.02.2019;65.4954;65.7372;65.3244;65.8007
31.01.2019;65.406;65.6955;65.167;65.5931
30.01.2019;65.4898;66.1823;65.3745;65.6155
29.01.2019;66.0568;66.4059;65.968;65.5079
28.01.2019;66.2681;66.3501;65.8107;65.5535
25.01.2019;65.997;66.258;65.7061;65.9136
24.01.2019;65.7787;66.1286;65.6834;66.041
23.01.2019;66.073;66.4435;66.034;66.2671
22.01.2019;66.5265;66.6233;66.3952;66.0087
21.01.2019;66.3915;66.4749;66.1487;65.8225
18.01.2019;66.2794;66.4972;66.1311;66.0978
17.01.2019;66.3577;66.6847;66.2664;66.438
16.01.2019;66.3709;66.9874;66.254;66.3819
15.01.2019;66.9615;67.1461;66.8893;66.2705
14.01.2019;67.0693;67.2983;66.8827;66.3955
11.01.2019;66.8965;67.1561;66.7998;66.3535
10.01.2019;66.9063;67.338;66.7075;67.0281
09.01.2019;66.7345;67.2437;66.6707;67.0126
08.01.2019;66.8985;67.7339;66.7341;66.871
04.01.2019;67.7339;68.6376;67.5199;67.0117
03.01.2019;68.6596;69.5654;68.5303;66.739
31.12.2018;69.715;69.7779;69.4751;66.7609
28.12.2018;69.5405;69.7093;69.2449;66.642
27.12.2018;69.5918;69.7479;68.5632;67.7365
26.12.2018;68.7006;69.4775;68.6982;68.5331
25.12.2018;68.6539;68.9675;68.4146;68.7514
24.12.2018;68.5877;68.9125;68.1841;69.1073
21.12.2018;68.8545;69.1313;67.8629;69.3785
20.12.2018;68.3449;68.7091;67.2417;69.725
19.12.2018;67.4826;67.7904;66.9854;69.5976
18.12.2018;67.2876;67.3385;66.6173;68.921
17.12.2018;66.7825;66.8269;66.4361;68.7005
14.12.2018;66.7473;66.8119;66.2758;68.5825
13.12.2018;66.2254;66.4877;66.1354;68.8032
12.12.2018;66.3931;66.5305;66.1278;68.2458
11.12.2018;66.3703;66.5745;66.2204;67.1902
10.12.2018;66.648;66.7062;66.1457;67.1769
07.12.2018;66.4021;67.0675;65.9859;66.7423
06.12.2018;66.8822;67.225;66.6572;66.8256
05.12.2018;66.5515;66.9221;66.4642;66.3445
04.12.2018;66.8369;66.8994;66.2062;66.3075
03.12.2018;66.5145;67.0915;66.0818;66.4296
30.11.2018;66.976;67.1912;66.3237;66.5925
29.11.2018;66.23;66.8894;65.9341;66.4014
28.11.2018;66.9632;67.538;66.77;66.8328
27.11.2018;67.0935;67.3746;66.4725;66.5579
26.11.2018;67.1049;67.3419;66.1962;66.7831
23.11.2018;66.218;66.4201;65.5675;66.6434
22.11.2018;65.6364;65.749;65.425;67.09
21.11.2018;65.6842;66.0675;65.5332;66.181
20.11.2018;66.17;66.2397;65.5237;66.8885
19.11.2018;65.5456;66.1199;65.495;67.2671
16.11.2018;65.9825;66.1984;65.6754;67.1665
15.11.2018;65.8846;66.9265;65.8696;66.2179
14.11.2018;67.0353;68.2757;67.011;65.6568
13.11.2018;68.1287;68.1618;67.5453;65.6019
12.11.2018;67.8477;67.955;67.3405;66.0707
09.11.2018;68.0838;68.1985;66.7741;65.6321
08.11.2018;66.8995;66.9635;66.1265;65.96
07.11.2018;66.3183;66.3288;65.831;66.1628
06.11.2018;66.1185;66.154;65.7554;67.189
02.11.2018;66.2026;66.2887;65.5154;67.8698
01.11.2018;65.7346;65.8036;65.5671;67.6424
31.10.2018;65.8804;65.8855;65.528;67.8991
30.10.2018;65.5481;65.845;65.5096;66.6945
29.10.2018;65.8387;65.9521;65.468;66.1609
